id,srcOrganization,destOrganization,description,cluster,amountUSD,Funding status,year
88784,"United States of America, Government of",Save the Children,Improved food security by Cash Transfers to vulnerable families in Balkh province  (USAID/OFDA),Early Recovery,915920.00,Paid Contribution,2011
88787,"United States of America, Government of",Catholic Relief Services,Livelihoods (STATE/PRM),Early Recovery,600000.00,Commitment,2011
88788,"United States of America, Government of",Center for Victims of Torture,GBV Response and Mental Health (STATE/PRM),Protection - Gender-Based Violence,999253.00,Commitment,2011
88789,"United States of America, Government of",Norwegian Refugee Council,Primary Education (STATE/PRM),Education,800000.00,Commitment,2011
88790,"United States of America, Government of",Jesuit Refugee Service,Primary Education (STATE/PRM),Education,613709.00,Commitment,2011
88791,"United States of America, Government of",Food for the Hungry International,"Food Security, WASH (STATE/PRM)",,572343.00,Commitment,2011
88792,"United States of America, Government of",Tearfund,WASH (STATE/PRM),Water Sanitation Hygiene,655500.00,Commitment,2011
88793,"United States of America, Government of",,Seeds and Tools (STATE/PRM),Agriculture,25000.00,Commitment,2011
89139,"United States of America, Government of",World Health Organization,Access to emergency integrated health services for the communities affected by humanitarian crisis with emphasis on reproductive and child health,Health,600000.00,Paid Contribution,2011
89183,"Poland, Government of",International Committee of the Red Cross,Financial support for the ICRC's work in Afghanistan (17/2011),,172962.00,Commitment,2011
89284,"Poland, Government of",World Food Programme,Relief Food Assistance to Tackle Food Security Challenges (16/2011),Food Security,157940.00,Paid Contribution,2011
89325,"Ireland, Government of",International Committee of the Red Cross,To save lives and alleviate suffering (ICRC 11 04),,726744.00,Commitment,2011
89326,"Ireland, Government of",Concern Worldwide,To save lives and alleviate suffering (CON 11 07),,363372.00,Commitment,2011
89327,"Ireland, Government of",Afghanistan ERF (until 2014),Emergency Response Fund - ERF (target needs $8 million) {UNOCHA 11 10} [OCT 3682],,547196.00,Paid Contribution,2011
89427,"Germany, Government of",Adventist Development and Relief Agency,"Reduction of mortality- and morbidity rate for population affected by the coldness by: Acquisition of winter aid material, basic conditions to stay warm during the winter months (VN05 321.50 AFG 05/11)",Health,203536.00,Commitment,2011
89429,"Luxembourg, Government of",World Food Programme,Nutrition support for acutely malnourished children and pregnant and lactating women in drought-affected areas of Afghanistan,Health,616522.00,Paid Contribution,2011
89430,"Finland, Government of",World Food Programme,"Nutrition support to tackle food security challenges for children and, pregnant and lactating women",Health,1364256.00,Paid Contribution,2011
89509,"Denmark, Government of",World Food Programme,Nutrition support for acutely malnourished children and pregnant and lactating women in drought-affected areas of Afghanista(46.Afghanistan.5.b.),Health,1374382.00,Paid Contribution,2011
89596,"Australia, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,2969274.00,Paid Contribution,2011
89601,"Canada, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan (A-034192-002),Food Security,3577060.00,Paid Contribution,2011
89602,"Ireland, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,704225.00,Paid Contribution,2011
89603,"Japan, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,7957495.00,Paid Contribution,2011
89604,"New Zealand, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,66087.00,Paid Contribution,2011
89605,World Food Programme,World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,28523122.00,Paid Contribution,2011
89606,"United States of America, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,12939910.00,Paid Contribution,2011
89608,"United States of America, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,8667870.00,Paid Contribution,2011
89609,"United States of America, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,7475630.00,Paid Contribution,2011
89610,"United States of America, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,2383435.00,Paid Contribution,2011
89612,"United States of America, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,1553362.00,Paid Contribution,2011
89613,"United States of America, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,1282055.00,Paid Contribution,2011
89614,"United States of America, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,4859.00,Paid Contribution,2011
89617,"United Kingdom, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,11235955.00,Paid Contribution,2011
89619,"Spain, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,2747253.00,Paid Contribution,2011
89621,Private (individuals & organizations),World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,87802.00,Paid Contribution,2011
89622,"Saudi Arabia (Kingdom of), Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,2746128.00,Paid Contribution,2011
89624,"Slovenia, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,21885.00,Paid Contribution,2011
89781,"Switzerland, Government of",Helvetas Swiss Intercooperation,Community-Based Disaster Risk Mitigation (7F-08092.01),Coordination and support services,279018.00,Commitment,2011
89886,Afghanistan ERF (until 2014),Afghanaid,WASH emergency response to flood and drought affected areas of Samangan province,Water Sanitation Hygiene,200200.00,Paid Contribution,2011
89887,Afghanistan ERF (until 2014),INTERSOS Humanitarian Aid Organization,"""Emergency water and sanitation assistance to flood and drought affected households in
Astana Valley, Shirin Tagab, District, Faryab Province, Afghanistan""",Water Sanitation Hygiene,307732.00,Paid Contribution,2011
89888,Afghanistan ERF (until 2014),People in Need,Emergency Relief through Cash for Work: Kishinde and Zare districts,Water Sanitation Hygiene,299996.00,Paid Contribution,2011
89889,Afghanistan ERF (until 2014),Agency for Technical Cooperation and Development,Emergency Relief through Cash for Work: Pashtun Kot and Almar districts,Water Sanitation Hygiene,300000.00,Paid Contribution,2011
89890,Afghanistan ERF (until 2014),Tearfund,"Emergency Relief through Cash for Work: Murdian, Khanaqa and Mingajik districts of Jawzjan Province",Water Sanitation Hygiene,299922.00,Paid Contribution,2011
89891,Afghanistan ERF (until 2014),ZOA,Drought Relief: Sar-e Pul Province Cash-for-Work Traditional Water Storage Capacity Expansion,Water Sanitation Hygiene,295143.00,Paid Contribution,2011
90055,UNICEF National Committee/Netherlands,United Nations Children's Fund,Humanitarian response,,569803.00,Paid Contribution,2011
90056,"Ireland, Government of",United Nations Children's Fund,Winter emergency preparedness (UNICEF 11 02),Education,53499.00,Paid Contribution,2011
90057,"Ireland, Government of",United Nations Children's Fund,Nutrition cluster coordination support for Afghanistan. (UNICEF 11 02) [received outside the appeal],Coordination and support services,22790.00,Paid Contribution,2011
90058,"Denmark, Government of",United Nations Children's Fund,Winter emergency preparedness (28.C.54.m.1-233),Education,320538.00,Paid Contribution,2011
90059,"Denmark, Government of",United Nations Children's Fund,Nutrition cluster coordination support for Afghanistan (received outside the appeal) (28.C.54.m.1-233),Coordination and support services,402451.00,Paid Contribution,2011
90060,United Nations Children's Fund,United Nations Children's Fund,Winter emergency preparedness,Education,206455.00,Paid Contribution,2011
90479,"United States of America, Government of",World Food Programme,Emergency food assistance for drought affected people in Afghanistan,Food Security,35424614.00,Paid Contribution,2011
90480,"Slovenia, Government of",World Food Programme,Enhancing Resilience and Food Security in Afghanistan,Food Security,29129.00,Paid Contribution,2011
90481,"Slovenia, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,25740.00,Paid Contribution,2011
90482,"Poland, Government of",World Food Programme,"Nutrition support to tackle food security challenges for children and, pregnant and lactating women (16/2011)",Health,12387.00,Paid Contribution,2011
90483,"Poland, Government of",World Food Programme,Health Component of Relief Food Assistance to tackle Food Security Challenges (16/2011),Health,6194.00,Paid Contribution,2011
90484,"Netherlands, Government of",World Food Programme,"Nutrition support to tackle food security challenges for children and, pregnant and lactating women (23056)",Health,150000.00,Paid Contribution,2011
90485,"Netherlands, Government of",World Food Programme,Health Component of Relief Food Assistance to tackle Food Security Challenges (23056),Health,75000.00,Paid Contribution,2011
90486,"India, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,3119415.00,Paid Contribution,2011
90487,"India, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,11239137.00,Paid Contribution,2011
90497,European Commission's Humanitarian Aid and Civil Protection Department,Norwegian Refugee Council,Emergency shelter and NFI assistance to victims of natural disasters and conflict in Northern Afghanistan ECHO/-AS/BUD/2011/91011,Emergency Shelter and NFI,107905.00,Commitment,2011
90499,"United States of America, Government of",Tearfund,WASH (STATE/PRM),Water Sanitation Hygiene,344195.00,Commitment,2011
90500,"United States of America, Government of",Save the Children,Afghanistan Emergency Food Security Program (Balkh province)    (USAID/OFDA),Agriculture,1225288.00,Paid Contribution,2011
90880,European Commission's Humanitarian Aid and Civil Protection Department,INTERSOS Humanitarian Aid Organization,"Emergency Food Security Program in Astana Valley, Shirin Tagab district, Faryab Province (ECHO/-AS/BUD/2011/91021)",Agriculture,1128921.00,Commitment,2011
90882,"Estonia, Government of",United Nations Children's Fund,Winter emergency preparedness,Education,66667.00,Commitment,2011
90883,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),Provision of winterization assistance to IDPs (VN05 321.50 AFG 06/11),,728691.00,Commitment,2011
90900,Afghanistan ERF (until 2014),CARE International,ERF/AFG/O473/026 Assistance for drought affected families of Khulm district of Balkh province,Food Security,299737.00,Paid Contribution,2011
90902,Afghanistan ERF (until 2014),Sharukhi Rehabilitation Project,ERF/AFG/O473/027 Life-saving of drought affected families through provision of drinking water and cash for work activities in Balkh and Samangan provinces,Water Sanitation Hygiene,291938.00,Paid Contribution,2011
90903,Afghanistan ERF (until 2014),Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,ERF/AFG/O473/028 Emergency Response (Cash for Work/Manmade Road Rehabilitation),Food Security,263571.00,Paid Contribution,2011
90904,Afghanistan ERF (until 2014),Norwegian Refugee Council,ERF/AFG/O473/029 Shelter Assistance for Flood Affected Families,Emergency Shelter and NFI,379663.00,Paid Contribution,2011
90908,"Luxembourg, Government of",CARITAS,"Pre- and post-natal care, birth assistance, vaccinations and family planning",Health,133333.00,Paid Contribution,2011
90930,"Australia, Government of",World Food Programme,Emergency food assistance for drought affected people in Afghanistan,Food Security,2205072.00,Paid Contribution,2011
91056,"Italy, Government of",International Federation of Red Cross and Red Crescent Societies,"Contribution to IFRC to ""Humanitarian Action and Risk Reduction Activities in Northern and Western Afghanistan"" project for food insecurity (9765/01/1)",Food Security,1200000.00,Commitment,2011
91058,"Italy, Government of",United Nations High Commissioner for Refugees,Conribution to UNHCR to assist Afghan returnees (AID 9760),,3111740.00,Commitment,2011
91059,"Romania, Government of",United Nations High Commissioner for Refugees,Reintegration of Afghan IDPs,Emergency Shelter and NFI,66667.00,Commitment,2011
91184,European Commission's Humanitarian Aid and Civil Protection Department,Agency for Technical Cooperation and Development,Emergency Food Security Response Through Adapted Social Safety Net: Northern Afghanistan (ECHO/-AS/BUD/2011/91022),Food Security,899600.00,Commitment,2011
91207,"Belgium, Government of",Food & Agriculture Organization of the United Nations,Immediate support to vulnerable populations in flood affected and food insecure areas of Afghanistan through the provision of basic agricultural packages for autumn 2011 and spring 2012 planting seasons (AA/2011/12),Agriculture,1424501.00,Commitment,2011
91286,"Sweden, Government of",Afghanistan ERF (until 2014),Emergency Response Fund for Afghanistan (projected needs $8 million) [OCT 3722] {Agreement N. 5204032001},,578787.00,Paid Contribution,2011
91869,Afghanistan ERF (until 2014),Afghanistan ERF (until 2014),Emergency Response Fund--to be allocated to specific projects,,3149001.00,Paid Contribution,2011
92378,"Denmark, Government of",United Nations Mine Action Service,"To ensure an effective, proactive and coordinated response to the problems of landmines and explosive remnants of war (46.H.9.a.114)",Protection - Mine Action,1381863.00,Commitment,2011
92450,"Slovenia, Government of",International Committee of the Red Cross,Support the ICRC orthopaedic activities in Afghanistan,Protection - Mine Action,68681.00,Commitment,2011
92452,"Slovenia, Government of",International Committee of the Red Cross,Support the ICRC activities in Afghanistan,,70423.00,Commitment,2011
92587,European Commission's Humanitarian Aid and Civil Protection Department,Office for the Coordination of Humanitarian Affairs,Humanitarian Coordination and Advocacy in Afghanistan [OCT 3506](part of ECHO/-AS/BUD/2011/91019 -  equiv to 20% of Euro 1 mn),Coordination and support services,245098.00,Paid Contribution,2011
92625,"Sweden, Government of",United Nations Children's Fund,Emergency nutrition response in drought affected areas,Health,3762118.00,Commitment,2011
92678,"Germany, Government of",World Food Programme,Emergency food assistance for drought affected people in Afghanistan (BMZ-No.: 2011.1914.8),Food Security,4000000.00,Paid Contribution,2011
93486,"Germany, Government of",Deutsche Gesellschaft für Internationale Zusammenarbeit,"Provincial Development Funds for Reconstruction in North - Eastern Afghanistan (4,18 Mio. Euro from the BMZ; 2,0 Mio. Euro from the Office for Foreign Affairs and 2,0 Mio. Euro from the Ministry of Defense/ committ new funds of 100.000 Euro from the BMZ on December, 12th 2011 ) (BMZ-No.: 2010.1812.6)",Early Recovery,133333.00,Commitment,2011
94195,"Luxembourg, Government of",World Food Programme,Nutrition support for acutely malnourished children and pregnant and lactating women in drought-affected areas of Afghanistan,Health,655308.00,Paid Contribution,2011
94253,"United States of America, Government of",World Food Programme,Enhancing Resilience and Food Security in Afghanistan,Food Security,4575386.00,Paid Contribution,2011
94254,"Canada, Government of",World Food Programme,Emergency food assistance for drought affected people in Afghanistan,Food Security,7991060.00,Paid Contribution,2011
94255,"Canada, Government of",World Food Programme,Nutrition support for acutely malnourished children and pregnant and lactating women in drought-affected areas of Afghanistan,Health,4630300.00,Paid Contribution,2011
94315,"Australia, Government of",World Food Programme,"Nutrition support to tackle food security challenges for children and, pregnant and lactating women (part of grant 10009524) (Multilatral)",Health,93400.00,Paid Contribution,2011
94316,"Australia, Government of",World Food Programme,Enhancing Resilience and Food Security in Afghanistan (part of grant 10009524) (Multilatral),Food Security,1190850.00,Paid Contribution,2011
94317,"Australia, Government of",World Food Programme,Health Component of Relief Food Assistance to tackle Food Security Challenges (part of grant 10009524) (Multilatral),Health,46700.00,Paid Contribution,2011
94319,"Germany, Government of",World Food Programme,Enhancing Resilience and Food Security in Afghanistan,Food Security,644753.00,Paid Contribution,2011
94321,"Germany, Government of",World Food Programme,Health Component of Relief Food Assistance to tackle Food Security Challenges,Health,13718.00,Paid Contribution,2011
94322,"New Zealand, Government of",World Food Programme,"Nutrition support to tackle food security challenges for children and, pregnant and lactating women",Health,626451.00,Paid Contribution,2011
94323,"New Zealand, Government of",World Food Programme,Health Component of Relief Food Assistance to tackle Food Security Challenges,Health,3074.00,Paid Contribution,2011
94326,"Poland, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan(16/2011),Food Security,133165.00,Paid Contribution,2011
94327,"Saudi Arabia (Kingdom of), Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,3156875.00,Paid Contribution,2011
94329,"Slovenia, Government of",World Food Programme,Enhancing Resilience and Food Security in Afghanistan,Food Security,20369.00,Paid Contribution,2011
94331,World Food Programme,World Food Programme,Food aid,Food Security,33786581.00,Paid Contribution,2011
94332,"United States of America, Government of",World Food Programme,Education sector component of WFP’s Relief Food Assistance to tackle food security challenges in Afghanistan,Food Security,4575386.00,Paid Contribution,2011
94333,"United States of America, Government of",World Food Programme,Enhancing Resilience and Food Security in Afghanistan,Food Security,19665157.00,Paid Contribution,2011
94975,"United States of America, Government of",Save the Children,Afghanistan Emergency Food Security Program    (USAID/OFDA),Agriculture,482323.00,Paid Contribution,2011
95194,Office for the Coordination of Humanitarian Affairs,Office for the Coordination of Humanitarian Affairs,Strengthening Humanitarian Coordination and Advocacy in Afghanistan,Coordination and support services,58242.00,Paid Contribution,2011
95592,"United States of America, Government of",Office for the Coordination of Humanitarian Affairs,Humanitarian Coordination and Advocacy in Afghanistan (USAID/OFDA) (OCT 3869),Coordination and support services,1000000.00,Commitment,2011
96026,"Japan, Government of",World Food Programme,Emergency food assistance for disasters affected populations in Afghanistan,Food Security,1133021.00,Paid Contribution,2011
96606,"Hungary, Government of","Afghanistan, Government of",In kind - To provide medical equipment to hospitals in the Hungarian PRT,Health,385.00,Paid Contribution,2011
98262,"United Arab Emirates, Government of","Afghanistan, Government of",Cash Aid to Government of Afghanistan (AFG-2011-001),,10000000.00,Paid Contribution,2011
98265,"United Arab Emirates, Government of",Red Crescent Society of the United Arab Emirates,"In-Kind - Food aid - 46 tons + 700 cartons of food ( dates)
(AFG-2011-002)",Food Security,329431.00,Paid Contribution,2011
100144,"United Kingdom, Government of",Tearfund,Emergency WASH support to schools in drought impacted families – Jawzjan Province,Water Sanitation Hygiene,90928.00,Paid Contribution,2012
100145,"United Kingdom, Government of",Tearfund,Emergency Support to Drought and floods affected Families - Jawzjan Province,Food Security,47680.00,Paid Contribution,2012
100146,"United States of America, Government of",Tearfund,Kandahar and Jawzjan Integrated and Sustainable Services for Returnees and Host (STATE/PRM),Food Security,1358086.00,Paid Contribution,2012
100147,"United States of America, Government of",Tearfund,Kandahar and Jawzjan Integrated and Sustainable Services for Returnees and Host (STATE/PRM),Water Sanitation Hygiene,117952.00,Paid Contribution,2012
100154,"Belgium, Government of",United Nations High Commissioner for Refugees,"Voluntary repatriation, initial return assistance to returning refugees na",Multi-sector,971503.00,Paid Contribution,2012
100169,,Save the Children,Integrated Community-Based Management of Acute Malnutrition (CMAM) and Nutrition Education Rehabilitation Sessions (NERS) project in Bamiyan (provided through Save the Children/Italy),Health,189007.00,Paid Contribution,2012
100170,,Save the Children,Integrated Community-Based Management of Acute Malnutrition (CMAM) and Nutrition Education Rehabilitation Sessions (NERS) project in Bamiyan and Jawzjan provinces (provided through Save the Children/UK),Health,383811.00,Paid Contribution,2012
100171,,Save the Children,Integrated Community-Based Management of Acute Malnutrition (CMAM) and Nutrition Education Rehabilitation Sessions (NERS) project in Bamiyan and Jawzjan provinces (provided through Save the Children/Germany),Health,255852.00,Paid Contribution,2012
100172,,Save the Children,Livelihood/agriculture support to North Balkh province (provided through Save the Children/Germany),Early Recovery,650000.00,Paid Contribution,2012
100186,"United Kingdom, Government of",United Nations Mine Action Service,Support to mine action coordination in Afghanistan,Protection - Mine Action,334757.00,Paid Contribution,2012
100187,"Oman, Government of",United Nations Mine Action Service,Support to mine action coordination in Afghanistan,Protection - Mine Action,100000.00,Paid Contribution,2012
100188,"Australia, Government of",United Nations Mine Action Service,Support to mine action in Afghanistan,Protection - Mine Action,5133000.00,Paid Contribution,2012
100189,"Germany, Government of",United Nations Mine Action Service,Support to mine action in Afghanistan,Protection - Mine Action,500815.00,Paid Contribution,2012
100190,"Austria, Government of",United Nations Mine Action Service,Support to mine action coordination in Afghanistan,Protection - Mine Action,226240.00,Paid Contribution,2012
100191,"United States of America, Government of",United Nations Mine Action Service,Support to mine action coordination in Afghanistan,Protection - Mine Action,1036144.00,Paid Contribution,2012
100192,"Denmark, Government of",United Nations Mine Action Service,Support to mine action in Afghanistan,Protection - Mine Action,4000000.00,Paid Contribution,2012
100467,"Germany, Government of",Save the Children,Emergency Food Security Assistance to Vulnerable Populations in Northern Afghanistan (VN05 321.50 AFG 12/12),Early Recovery,640212.00,Commitment,2012
100526,"Norway, Government of",Norske PEN,AFG-12/0015/Human rights,Protection,110489.00,Paid Contribution,2012
100880,"Sweden, Government of",Afghanistan ERF (until 2014),To be allocated to specific projects (OCT 4019),,2240302.00,Paid Contribution,2012
100881,"Ireland, Government of",Afghanistan ERF (until 2014),To be allocated to specific projects (OCT 4018) [UNOCHA 12 12],,519481.00,Paid Contribution,2012
101044,"Luxembourg, Government of",CARITAS,"Food and nutrition assistance for 640 families, including chirldren below 5 years of age and pregnant/lactating mothers",Food Security,129534.00,Commitment,2012
101046,"Germany, Government of",Adventist Development and Relief Agency,Securing the survival for conflict induced Refugees and Reintegration of returnees in the winter months (VN05 321.50 AFG 04/12),,233766.00,Commitment,2012
101050,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),Stabilisation of IDP Living Conditions and Promotion of Local Integration of Communities Living in Informal Settlements and Camps in Kabul Province (VN05 321.50 AFG 14/12),Protection,259067.00,Commitment,2012
101128,"Estonia, Government of",United Nations Children's Fund,Support to Education in the Insecure and Conflict Affected Provinces in Afghanistan,Education,97150.00,Commitment,2012
101309,Private (individuals & organizations),Kimse Yok Mu Solidarity Foundation,Ramadhan project 2012-Food packages distribution,Food Security,20000.00,Paid Contribution,2012
101401,"Denmark, Government of",Afghanistan ERF (until 2014),Emergency Response Fund for Afghanistan - projected needs $8 million (the figure shown for 'funding' is the unallocated balance of the fund) [605.2292.01] {OCT 4043},,1779043.00,Paid Contribution,2012
101496,Private (individuals & organizations),Kimse Yok Mu Solidarity Foundation,Meat packages distribution to needy families,Food Security,151680.00,Paid Contribution,2012
101559,Afghanistan ERF (until 2014),Afghanistan ERF (until 2014),to be allocated to specific projects,,6179960.00,Paid Contribution,2012
101568,"Belgium, Government of",International Committee of the Red Cross,"Support to the ICRC activities in Afghanistan - Assistance, protection and prevention activities (NH/2012/02)",,6640106.00,Commitment,2012
101668,"Denmark, Government of",World Food Programme,Food aid (not CAP related),Food Security,1742160.00,Paid Contribution,2012
101669,"Ireland, Government of",World Food Programme,Food aid (not CAP related) (WFP 1207),Food Security,519481.00,Paid Contribution,2012
101670,World Food Programme,World Food Programme,Food aid - [Multilateral ] (not CAP related),Food Security,3608070.00,Paid Contribution,2012
101671,"Luxembourg, Government of",World Food Programme,Food aid (not CAP related),Food Security,327654.00,Paid Contribution,2012
101960,"Poland, Government of",International Committee of the Red Cross,Contribution to the ICRC programme in Afghanistan,,309885.00,Commitment,2012
101979,"Ireland, Government of",Concern Worldwide,To save lives,,259740.00,Commitment,2012
101983,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),Construction of Drinking Water supply facilities and sanitation in selected districts of the province of Jovzjan (PN: 2009.1903.5),Water Sanitation Hygiene,2655440.00,Commitment,2012
102093,"Italy, Government of",World Health Organization,Strengthening the management and capacity building of the Esteqal Hospital in Kabul and Heral Paediatric Hospital,Health,974026.00,Paid Contribution,2012
102221,"Norway, Government of",Afghanistan Independent Human Rights Commission,AIHRC - Core support,Protection,706215.00,Paid Contribution,2012
102230,"Norway, Government of",Norwegian Afghanistan Committee,Community-Based Disaster Risk Management i Badakhshan Provinsen,Coordination and support services,319401.00,Paid Contribution,2012
103596,European Commission's Humanitarian Aid and Civil Protection Department,World Health Organization,Reduce avoidable child mortality through nationwide measles/polio/Vit. A campaign (part of ECHO/-AS/BUD/2012/91006),Health,663130.00,Paid Contribution,2012
104205,European Commission's Humanitarian Aid and Civil Protection Department,Deutsche Welthungerhilfe e.V. (German Agro Action),Provision of basic relief assistance to cover the essential needs of vulnerable communities living in Kabul Informal settlements (part of ECHO/-AS/BUD/2012/91009) ECHO funded DWHH in response to the proposal submitted by DWHH to ECHO along with 2 Consortium partners: SI and ACF. 2012 DWHH health project for Kabul informal settlements was financed by ECHO as a part of 2012/13 Consortium with SI and ACF.,Health,376076.00,Commitment,2012
104682,Private (individuals & organizations),Kimse Yok Mu Solidarity Foundation,Contruction materials for the school,Early Recovery,12000.00,Paid Contribution,2012
104683,Private (individuals & organizations),Kimse Yok Mu Solidarity Foundation,School construction,Early Recovery,667536.00,Paid Contribution,2012
105791,World Food Programme,World Food Programme,Provision of Humanitarian Air Services in Afghanistan,Coordination and support services,600000.00,Paid Contribution,2012
107700,"Germany, Government of",Deutsche Gesellschaft für Internationale Zusammenarbeit,Enhancing food and nutrtion security in North-East Afghanistan (BMZ-No.: 2012.1996.3),,2948557.00,Commitment,2012
108640,Norwegian Refugee Council,Norwegian Refugee Council,Emergency Response And Access Mechanism for Afghan Populations -  To contribute to saving lives of conflict and disaster affected displaced populations in Afghanistan through cash based interventions and NFI's.,Food Security,211538.00,Commitment,2012
108956,Solidarités International,Solidarités International,"Reduction of vulnerability to food insecurity amongst IDPs living in the KIS -  Food aid, income generating activities in Kabul",Agriculture,503979.00,Commitment,2012
108957,Solidarités International,Solidarités International,"Emergency Response Mechanism in Afghanistan - Surveillance, assessment, monitoring, Cash distribution/Voucher, Disaster Risk Reduction in Bamyan, Kabul, Samangan",Emergency Shelter and NFI,584881.00,Commitment,2012
108968,Solidarités International,Solidarités International,"Provision of basic relief assistance to cover the essential needs of vulnerable communities living in Kabul Informal settlements - To improve the access of KIS communities to infrastructure and
services that mitigate their vulnerability to preventable infections and malnutrition.",Water Sanitation Hygiene,644608.00,Paid Contribution,2012
108969,ACF - France Action Contre la Faim,ACF - France Action Contre la Faim,"To reduce the risk of morbidity and mortality related to poor living conditions in Samangan Province of Afghanistan.
To provide relief and assistance in terms of water, sanitation, hygiene and water borne diseases to vulnerable communities of Dare-i-Suf Payen and Dare-i-Suf Bala Districts (Samangan Province).",Water Sanitation Hygiene,1094328.00,Paid Contribution,2012
113975,World Food Programme,World Food Programme,Nutrition,Health,26804025.00,Paid Contribution,2012
123600,Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,Life for Relief and Development,Distributing meat to poor families,Food Security,4203.00,Paid Contribution,2012
125378,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),Winter aid for IDPs and marginalized communities in informal settlements and camps in Kabuland Balkh (VN05 321.50 AFG 09/13),Health,728631.00,Commitment,2012
125379,"Germany, Government of",Deutsche Gesellschaft für Internationale Zusammenarbeit,Enhancing rural livelihoods in Balkh and Samangan provinces of North Afghanistan (BMZ-No.: 2012.1997.1),Early Recovery,2710163.00,Commitment,2012
125380,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),To improve the access by IDPs and marginalized communities to basic health services in 24 Kabul Informal Settlements (KIS)  (VN05 321.50 AFG 03/14),Protection,1141743.00,Commitment,2012
137551,"Belgium, Government of",United Nations Children's Fund,Le droit élémentaire des enfants à l’éducation est assuré dans les zones en conflit.  (TR/2011/32 - 3012009),Education,2054975.00,Paid Contribution,2012
149403,"Poland, Government of",Office for the Coordination of Humanitarian Affairs,Afghanistan - OCHA Office  (OCT 3960),Coordination and support services,267018.00,Paid Contribution,2012
152487,European Commission's Humanitarian Aid and Civil Protection Department,National NGOs (Confidential) | Red Cross Organizations | UN Agencies (Confidential),Humanitarian aid (ECHO/-AS/BUD/2012/91000 - total original funding decision of Euro 30 mn - fully allocated to specific organizations),,0.00,Commitment,2012
204040,"Saudi Arabia (Kingdom of), Government of","Afghanistan, Government of","Provision of Ambulances for Hospitals under the Ministry of Health, Afghanistan",Education,872058.00,Paid Contribution,2012
217233,"Germany, Government of",Deutsche Gesellschaft für Internationale Zusammenarbeit,"Reconstruction and stabilisation of the livelihood in the North-East (committ new funds of 2.1 Mio. Euro for 2011 in 2011 and 2.3 Mio. Euro for 2012 and 200.000 Euro for 2013 in 2012, 24.000 in 2013 for 2013)",Coordination and support services | Early Recovery | Emergency Shelter and NFI | Logistics,0.00,Commitment,2012
88720,European Commission's Humanitarian Aid and Civil Protection Department,Save the Children,Food Assistance for Drought Affected Households in Northern Afghanistan (ECHO/-AS/BUD/2011/91018),Early Recovery,1000000.00,Paid Contribution,2012
