year,srcOrganization,srcOrganizationTypes,amountUSD
2013.0,ACF - France Action Contre la Faim,Other,1094328.0
2013.0,Norwegian Refugee Council,Other,211538.0
2013.0,Oman,Government,100000.0
2013.0,Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,Other,2475.0
2013.0,Solidarités International,Other,1733468.0
2013.0,Swiss Solidarity,,0.0
2013.0,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),Inter-governmental,884172.0
2013.0,Qatar,Government,16385838.0
2013.0,Afghanistan Humanitarian Fund,,0.0
2013.0,United States Fund for UNICEF,,0.0
2013.0,Start Network,,0.0
2013.0,UN Agencies (Confidential),,0.0
2013.0,Malta,,0.0
2013.0,Qawafil for Relief and Development,,0.0
2013.0,Bosnia & Herzegovina,,0.0
2013.0,Bulgaria,,0.0
2013.0,China,,0.0
2013.0,Education Cannot Wait Fund,,0.0
2013.0,Mexico,,0.0
2013.0,United Nations Population Fund,,0.0
2013.0,Aktion Deutschland Hilft,,0.0
2013.0,Dutch Relief Alliance,,0.0
2013.0,Kuwait Red Crescent Society,,0.0
2013.0,Oxfam Australia,,0.0
2013.0,Qatar Charity,,0.0
2013.0,UNICEF National Committee/Canada,,0.0
2013.0,United Nations Development Programme,,0.0
2013.0,United Nations Foundation,,0.0
2013.0,War Child Canada,,0.0
2013.0,Caritas Germany (DCV),,0.0
2013.0,Danish Committee for Aid to Afghan Refugees,,0.0
2013.0,UNICEF National Committee/Denmark,,0.0
2013.0,ActionAid International,,0.0
2013.0,Asian Development Bank,,0.0
2013.0,COVID-19 Humanitarian Thematic Fund,,0.0
2013.0,Disaster Emergency Committee Coronavirus Appeal,,0.0
2013.0,Kuwait,,0.0
2013.0,Oxfam,,0.0
2013.0,PATRIP Foundation,,0.0
2013.0,UNDP Administered Trust Fund,,0.0
2013.0,UNICEF National Committee/New Zealand,,0.0
2013.0,United Nations Office for Project Services,,0.0
2013.0,World Bank,,0.0
2013.0,Cyprus,,0.0
2013.0,Faeroe Islands,,0.0
2013.0,GAVI Alliance,,0.0
2013.0,Jersey Overseas Aid,,0.0
2013.0,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),,0.0
2013.0,Oxfam International,,0.0
2013.0,Portugal,,0.0
2013.0,Save the Children,,0.0
2013.0,Special Trust Fund for Afghanistan,,0.0
2013.0,Thailand,,0.0
2013.0,UN Multi-Partner Trust Fund,,0.0
2013.0,World Vision International,,0.0
2013.0,Disasters Emergency Committee (UK),,0.0
2013.0,Guyana,,0.0
2013.0,Malaysia,,0.0
2013.0,Philippines,,0.0
2013.0,Red Crescent Society of the United Arab Emirates,,0.0
2013.0,UNICEF National Committee/Australia,,0.0
2013.0,UNICEF National Committee/Austria,,0.0
2013.0,UNICEF National Committee/Czech Republic,,0.0
2013.0,UNICEF National Committee/Germany,,0.0
2013.0,UNICEF National Committee/Iceland,,0.0
2013.0,UNICEF National Committee/Italy,,0.0
2013.0,UNICEF National Committee/Korea (Republic of),,0.0
2013.0,UNICEF National Committee/Luxembourg,,0.0
2013.0,UNICEF National Committee/Poland,,0.0
2013.0,UNICEF National Committee/Portugal,,0.0
2013.0,UNICEF National Committee/Sweden,,0.0
2013.0,UNICEF National Committees,,0.0
2013.0,Unitaid,,0.0
2013.0,United States Fund For UNICEF,,0.0
2014.0,Afghanistan,,0.0
2014.0,Afghanistan ERF (until 2014),Pooled fund,9425003.0
2014.0,Agency for Technical Cooperation and Development,,0.0
2014.0,Australia,Government,6027368.0
2014.0,Austria,,0.0
2014.0,Belgium,Government,500000.0
2014.0,Bill and Melinda Gates Foundation,,0.0
2014.0,Brazil,,0.0
2014.0,CARITAS,,0.0
2014.0,CRS and Private Foundations,,0.0
2014.0,Canada,Government,25117127.0
2014.0,Central Emergency Response Fund,Pooled fund,3991021.0
2014.0,Czech Republic,,0.0
2014.0,Denmark,Government,17368444.0
2014.0,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,41171051.0
2014.0,Finland,Government,3333319.0
2014.0,France,Government,942788.0
2014.0,Germany,Government,10941084.0
2014.0,Greece,,0.0
2014.0,India,,0.0
2014.0,Ireland,Government,1936072.0
2014.0,Italy,Government,632921.0
2014.0,Japan,Government,47693945.0
2014.0,Kazakhstan,Government,1985917.0
2014.0,Khalifa Bin Zayed Al Nahyan Foundation,,0.0
2014.0,Kyrgyzstan,,0.0
2014.0,Luxembourg,Government,1196141.0
2014.0,Netherlands,Government,5079812.0
2014.0,Norway,Government,24034441.0
2014.0,Office for the Coordination of Humanitarian Affairs,UN agency,8001676.0
2014.0,Private (individuals & organizations),Foundation/private,34712195.0
2014.0,Romania,,0.0
2014.0,Russian Federation,Government,50000.0
2014.0,Saudi Arabia (Kingdom of),Government,1995142.0
2014.0,Slovakia,,0.0
2014.0,Spain,Government,27663.0
2014.0,Sweden,Government,21875236.0
2014.0,Switzerland,Government,4214973.0
2014.0,Turkey,,0.0
2014.0,United Arab Emirates,Government,927499.0
2014.0,United Kingdom,Government,24902529.0
2014.0,United Nations High Commissioner for Refugees,,0.0
2014.0,United States of America,Government,171173963.0
2014.0,World Food Programme,UN agency,127283696.0
2014.0,Association for Aid and Relief Japan,,0.0
2014.0,Australian Red Cross,,0.0
2014.0,Bahamas,,0.0
2014.0,British Red Cross,,0.0
2014.0,Croatia,,0.0
2014.0,Danish Red Cross,,0.0
2014.0,European Commission,Inter-governmental,600000.0
2014.0,Finnish Red Cross,,0.0
2014.0,Food & Agriculture Organization of the United Nations,,0.0
2014.0,Japanese Red Cross Society,,0.0
2014.0,Korea,Government,17000000.0
2014.0,Lithuania,,0.0
2014.0,Medico International,,0.0
2014.0,Mine Action Programme of Afghanistan,,0.0
2014.0,Poland,Government,619057.0
2014.0,Swedish Red Cross,,0.0
2014.0,United Nations Children's Fund,,0.0
2014.0,United Nations Mine Action Service,,0.0
2014.0,World Health Organization,,0.0
2014.0,Estonia,Government,25221.0
2014.0,Hungary,,0.0
2014.0,Iceland,,0.0
2014.0,New Zealand,,0.0
2014.0,Slovenia,,0.0
2014.0,UNICEF National Committee/Japan,,0.0
2014.0,UNICEF National Committee/Netherlands,,0.0
2014.0,UNICEF National Committee/United Kingdom,UN agency,40584.0
2014.0,ACF - France Action Contre la Faim,,0.0
2014.0,Norwegian Refugee Council,,0.0
2014.0,Oman,,0.0
2014.0,Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,,0.0
2014.0,Solidarités International,,0.0
2014.0,Swiss Solidarity,,0.0
2014.0,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),Inter-governmental,614393.0
2014.0,Qatar,,0.0
2014.0,Afghanistan Humanitarian Fund,Pooled fund,47678326.0
2014.0,United States Fund for UNICEF,Foundation/private,59318.0
2014.0,Start Network,,0.0
2014.0,UN Agencies (Confidential),,0.0
2014.0,Malta,,0.0
2014.0,Qawafil for Relief and Development,,0.0
2014.0,Bosnia & Herzegovina,,0.0
2014.0,Bulgaria,,0.0
2014.0,China,,0.0
2014.0,Education Cannot Wait Fund,,0.0
2014.0,Mexico,,0.0
2014.0,United Nations Population Fund,,0.0
2014.0,Aktion Deutschland Hilft,,0.0
2014.0,Dutch Relief Alliance,,0.0
2014.0,Kuwait Red Crescent Society,,0.0
2014.0,Oxfam Australia,,0.0
2014.0,Qatar Charity,,0.0
2014.0,UNICEF National Committee/Canada,,0.0
2014.0,United Nations Development Programme,,0.0
2014.0,United Nations Foundation,,0.0
2014.0,War Child Canada,,0.0
2014.0,Caritas Germany (DCV),,0.0
2014.0,Danish Committee for Aid to Afghan Refugees,,0.0
2014.0,UNICEF National Committee/Denmark,,0.0
2014.0,ActionAid International,,0.0
2014.0,Asian Development Bank,,0.0
2014.0,COVID-19 Humanitarian Thematic Fund,,0.0
2014.0,Disaster Emergency Committee Coronavirus Appeal,,0.0
2014.0,Kuwait,,0.0
2014.0,Oxfam,,0.0
2014.0,PATRIP Foundation,,0.0
2014.0,UNDP Administered Trust Fund,,0.0
2014.0,UNICEF National Committee/New Zealand,,0.0
2014.0,United Nations Office for Project Services,,0.0
2014.0,World Bank,,0.0
2014.0,Cyprus,,0.0
2014.0,Faeroe Islands,,0.0
2014.0,GAVI Alliance,,0.0
2014.0,Jersey Overseas Aid,,0.0
2014.0,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),,0.0
2014.0,Oxfam International,,0.0
2014.0,Portugal,,0.0
2014.0,Save the Children,,0.0
2014.0,Special Trust Fund for Afghanistan,,0.0
2014.0,Thailand,,0.0
2014.0,UN Multi-Partner Trust Fund,,0.0
2014.0,World Vision International,,0.0
2014.0,Disasters Emergency Committee (UK),,0.0
2014.0,Guyana,,0.0
2014.0,Malaysia,,0.0
2014.0,Philippines,,0.0
2014.0,Red Crescent Society of the United Arab Emirates,,0.0
2014.0,UNICEF National Committee/Australia,,0.0
2014.0,UNICEF National Committee/Austria,,0.0
2014.0,UNICEF National Committee/Czech Republic,,0.0
2014.0,UNICEF National Committee/Germany,,0.0
2014.0,UNICEF National Committee/Iceland,,0.0
2014.0,UNICEF National Committee/Italy,,0.0
2014.0,UNICEF National Committee/Korea (Republic of),,0.0
2014.0,UNICEF National Committee/Luxembourg,,0.0
2014.0,UNICEF National Committee/Poland,,0.0
2014.0,UNICEF National Committee/Portugal,,0.0
2014.0,UNICEF National Committee/Sweden,,0.0
2014.0,UNICEF National Committees,,0.0
2014.0,Unitaid,,0.0
2014.0,United States Fund For UNICEF,,0.0
2015.0,Afghanistan,Government,1000.0
2015.0,Afghanistan ERF (until 2014),,0.0
2015.0,Agency for Technical Cooperation and Development,,0.0
2015.0,Australia,Government,10479816.0
2015.0,Austria,,0.0
2015.0,Belgium,Government,330400.0
2015.0,Bill and Melinda Gates Foundation,,0.0
2015.0,Brazil,,0.0
2015.0,CARITAS,,0.0
2015.0,CRS and Private Foundations,,0.0
2015.0,Canada,Government,11543837.0
2015.0,Central Emergency Response Fund,Pooled fund,13786504.0
2015.0,Czech Republic,,0.0
2015.0,Denmark,Government,14101702.0
2015.0,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,30277622.0
2015.0,Finland,Government,1683099.0
2015.0,France,Government,919722.0
2015.0,Germany,Government,17427171.0
2015.0,Greece,,0.0
2015.0,India,,0.0
2015.0,Ireland,Government,1670700.0
2015.0,Italy,Government,839868.0
2015.0,Japan,Government,29089663.0
2015.0,Kazakhstan,Government,1611520.0
2015.0,Khalifa Bin Zayed Al Nahyan Foundation,,0.0
2015.0,Kyrgyzstan,,0.0
2015.0,Luxembourg,Government,820861.0
2015.0,Netherlands,Government,2000000.0
2015.0,Norway,Government,16898938.0
2015.0,Office for the Coordination of Humanitarian Affairs,UN agency,607784.0
2015.0,Private (individuals & organizations),Foundation/private,565751.0
2015.0,Romania,,0.0
2015.0,Russian Federation,,0.0
2015.0,Saudi Arabia (Kingdom of),Government,1207228.0
2015.0,Slovakia,,0.0
2015.0,Spain,,0.0
2015.0,Sweden,Government,16192586.0
2015.0,Switzerland,Government,2837954.0
2015.0,Turkey,,0.0
2015.0,United Arab Emirates,,0.0
2015.0,United Kingdom,Government,43798935.0
2015.0,United Nations High Commissioner for Refugees,,0.0
2015.0,United States of America,Government,168509026.0
2015.0,World Food Programme,UN agency,119597157.0
2015.0,Association for Aid and Relief Japan,,0.0
2015.0,Australian Red Cross,,0.0
2015.0,Bahamas,,0.0
2015.0,British Red Cross,,0.0
2015.0,Croatia,,0.0
2015.0,Danish Red Cross,,0.0
2015.0,European Commission,Inter-governmental,716233.0
2015.0,Finnish Red Cross,,0.0
2015.0,Food & Agriculture Organization of the United Nations,,0.0
2015.0,Japanese Red Cross Society,,0.0
2015.0,Korea,Government,14248444.0
2015.0,Lithuania,,0.0
2015.0,Medico International,,0.0
2015.0,Mine Action Programme of Afghanistan,,0.0
2015.0,Poland,,0.0
2015.0,Swedish Red Cross,,0.0
2015.0,United Nations Children's Fund,,0.0
2015.0,United Nations Mine Action Service,,0.0
2015.0,World Health Organization,,0.0
2015.0,Estonia,,0.0
2015.0,Hungary,,0.0
2015.0,Iceland,,0.0
2015.0,New Zealand,,0.0
2015.0,Slovenia,,0.0
2015.0,UNICEF National Committee/Japan,,0.0
2015.0,UNICEF National Committee/Netherlands,,0.0
2015.0,UNICEF National Committee/United Kingdom,,0.0
2015.0,ACF - France Action Contre la Faim,,0.0
2015.0,Norwegian Refugee Council,,0.0
2015.0,Oman,,0.0
2015.0,Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,,0.0
2015.0,Solidarités International,,0.0
2015.0,Swiss Solidarity,,0.0
2015.0,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),,0.0
2015.0,Qatar,Government,1135691.0
2015.0,Afghanistan Humanitarian Fund,Pooled fund,51403404.0
2015.0,United States Fund for UNICEF,,0.0
2015.0,Start Network,Other,548344.0
2015.0,UN Agencies (Confidential),UN agency,135000.0
2015.0,Malta,,0.0
2015.0,Qawafil for Relief and Development,,0.0
2015.0,Bosnia & Herzegovina,,0.0
2015.0,Bulgaria,,0.0
2015.0,China,,0.0
2015.0,Education Cannot Wait Fund,,0.0
2015.0,Mexico,,0.0
2015.0,United Nations Population Fund,,0.0
2015.0,Aktion Deutschland Hilft,,0.0
2015.0,Dutch Relief Alliance,,0.0
2015.0,Kuwait Red Crescent Society,,0.0
2015.0,Oxfam Australia,,0.0
2015.0,Qatar Charity,,0.0
2015.0,UNICEF National Committee/Canada,,0.0
2015.0,United Nations Development Programme,,0.0
2015.0,United Nations Foundation,,0.0
2015.0,War Child Canada,,0.0
2015.0,Caritas Germany (DCV),,0.0
2015.0,Danish Committee for Aid to Afghan Refugees,,0.0
2015.0,UNICEF National Committee/Denmark,,0.0
2015.0,ActionAid International,,0.0
2015.0,Asian Development Bank,,0.0
2015.0,COVID-19 Humanitarian Thematic Fund,,0.0
2015.0,Disaster Emergency Committee Coronavirus Appeal,,0.0
2015.0,Kuwait,,0.0
2015.0,Oxfam,,0.0
2015.0,PATRIP Foundation,,0.0
2015.0,UNDP Administered Trust Fund,,0.0
2015.0,UNICEF National Committee/New Zealand,,0.0
2015.0,United Nations Office for Project Services,,0.0
2015.0,World Bank,,0.0
2015.0,Cyprus,,0.0
2015.0,Faeroe Islands,,0.0
2015.0,GAVI Alliance,,0.0
2015.0,Jersey Overseas Aid,,0.0
2015.0,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),,0.0
2015.0,Oxfam International,,0.0
2015.0,Portugal,,0.0
2015.0,Save the Children,,0.0
2015.0,Special Trust Fund for Afghanistan,,0.0
2015.0,Thailand,,0.0
2015.0,UN Multi-Partner Trust Fund,,0.0
2015.0,World Vision International,,0.0
2015.0,Disasters Emergency Committee (UK),,0.0
2015.0,Guyana,,0.0
2015.0,Malaysia,,0.0
2015.0,Philippines,,0.0
2015.0,Red Crescent Society of the United Arab Emirates,,0.0
2015.0,UNICEF National Committee/Australia,,0.0
2015.0,UNICEF National Committee/Austria,,0.0
2015.0,UNICEF National Committee/Czech Republic,,0.0
2015.0,UNICEF National Committee/Germany,,0.0
2015.0,UNICEF National Committee/Iceland,,0.0
2015.0,UNICEF National Committee/Italy,,0.0
2015.0,UNICEF National Committee/Korea (Republic of),,0.0
2015.0,UNICEF National Committee/Luxembourg,,0.0
2015.0,UNICEF National Committee/Poland,,0.0
2015.0,UNICEF National Committee/Portugal,,0.0
2015.0,UNICEF National Committee/Sweden,,0.0
2015.0,UNICEF National Committees,,0.0
2015.0,Unitaid,,0.0
2015.0,United States Fund For UNICEF,,0.0
2016.0,Afghanistan,,0.0
2016.0,Afghanistan ERF (until 2014),,0.0
2016.0,Agency for Technical Cooperation and Development,,0.0
2016.0,Australia,Government,20191333.0
2016.0,Austria,,0.0
2016.0,Belgium,Government,4442043.0
2016.0,Bill and Melinda Gates Foundation,,0.0
2016.0,Brazil,,0.0
2016.0,CARITAS,,0.0
2016.0,CRS and Private Foundations,,0.0
2016.0,Canada,Government,11141354.0
2016.0,Central Emergency Response Fund,Pooled fund,9782398.0
2016.0,Czech Republic,Government,103778.0
2016.0,Denmark,Government,21291342.0
2016.0,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,42452485.0
2016.0,Finland,Government,4343025.0
2016.0,France,Government,1118683.0
2016.0,Germany,Government,42253791.0
2016.0,Greece,,0.0
2016.0,India,,0.0
2016.0,Ireland,Government,1433716.0
2016.0,Italy,Government,4811024.0
2016.0,Japan,Government,47169783.0
2016.0,Kazakhstan,,0.0
2016.0,Khalifa Bin Zayed Al Nahyan Foundation,,0.0
2016.0,Kyrgyzstan,,0.0
2016.0,Luxembourg,Government,1106905.0
2016.0,Netherlands,Government,6810000.0
2016.0,Norway,Government,22205889.0
2016.0,Office for the Coordination of Humanitarian Affairs,UN agency,557612.0
2016.0,Private (individuals & organizations),Foundation/private,1809288.0
2016.0,Romania,,0.0
2016.0,Russian Federation,,0.0
2016.0,Saudi Arabia (Kingdom of),Government,1214769.0
2016.0,Slovakia,,0.0
2016.0,Spain,,0.0
2016.0,Sweden,Government,23636186.0
2016.0,Switzerland,Government,10653961.0
2016.0,Turkey,,0.0
2016.0,United Arab Emirates,,0.0
2016.0,United Kingdom,Government,60484178.0
2016.0,United Nations High Commissioner for Refugees,,0.0
2016.0,United States of America,Government,149722339.0
2016.0,World Food Programme,UN agency,13710734.0
2016.0,Association for Aid and Relief Japan,,0.0
2016.0,Australian Red Cross,,0.0
2016.0,Bahamas,,0.0
2016.0,British Red Cross,,0.0
2016.0,Croatia,,0.0
2016.0,Danish Red Cross,,0.0
2016.0,European Commission,Inter-governmental,715822.0
2016.0,Finnish Red Cross,,0.0
2016.0,Food & Agriculture Organization of the United Nations,,0.0
2016.0,Japanese Red Cross Society,,0.0
2016.0,Korea,Government,18702977.0
2016.0,Lithuania,Government,67264.0
2016.0,Medico International,,0.0
2016.0,Mine Action Programme of Afghanistan,,0.0
2016.0,Poland,,0.0
2016.0,Swedish Red Cross,,0.0
2016.0,United Nations Children's Fund,,0.0
2016.0,United Nations Mine Action Service,,0.0
2016.0,World Health Organization,,0.0
2016.0,Estonia,,0.0
2016.0,Hungary,,0.0
2016.0,Iceland,,0.0
2016.0,New Zealand,,0.0
2016.0,Slovenia,,0.0
2016.0,UNICEF National Committee/Japan,,0.0
2016.0,UNICEF National Committee/Netherlands,,0.0
2016.0,UNICEF National Committee/United Kingdom,,0.0
2016.0,ACF - France Action Contre la Faim,,0.0
2016.0,Norwegian Refugee Council,,0.0
2016.0,Oman,,0.0
2016.0,Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,,0.0
2016.0,Solidarités International,,0.0
2016.0,Swiss Solidarity,,0.0
2016.0,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),,0.0
2016.0,Qatar,,0.0
2016.0,Afghanistan Humanitarian Fund,Pooled fund,40064451.0
2016.0,United States Fund for UNICEF,Foundation/private,67456.0
2016.0,Start Network,Other,299740.0
2016.0,UN Agencies (Confidential),,0.0
2016.0,Malta,Government,37092.0
2016.0,Qawafil for Relief and Development,Other,24668.0
2016.0,Bosnia & Herzegovina,,0.0
2016.0,Bulgaria,,0.0
2016.0,China,,0.0
2016.0,Education Cannot Wait Fund,,0.0
2016.0,Mexico,,0.0
2016.0,United Nations Population Fund,,0.0
2016.0,Aktion Deutschland Hilft,,0.0
2016.0,Dutch Relief Alliance,,0.0
2016.0,Kuwait Red Crescent Society,,0.0
2016.0,Oxfam Australia,,0.0
2016.0,Qatar Charity,,0.0
2016.0,UNICEF National Committee/Canada,,0.0
2016.0,United Nations Development Programme,,0.0
2016.0,United Nations Foundation,,0.0
2016.0,War Child Canada,,0.0
2016.0,Caritas Germany (DCV),,0.0
2016.0,Danish Committee for Aid to Afghan Refugees,,0.0
2016.0,UNICEF National Committee/Denmark,,0.0
2016.0,ActionAid International,,0.0
2016.0,Asian Development Bank,,0.0
2016.0,COVID-19 Humanitarian Thematic Fund,,0.0
2016.0,Disaster Emergency Committee Coronavirus Appeal,,0.0
2016.0,Kuwait,,0.0
2016.0,Oxfam,,0.0
2016.0,PATRIP Foundation,,0.0
2016.0,UNDP Administered Trust Fund,,0.0
2016.0,UNICEF National Committee/New Zealand,,0.0
2016.0,United Nations Office for Project Services,,0.0
2016.0,World Bank,,0.0
2016.0,Cyprus,,0.0
2016.0,Faeroe Islands,,0.0
2016.0,GAVI Alliance,,0.0
2016.0,Jersey Overseas Aid,,0.0
2016.0,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),,0.0
2016.0,Oxfam International,,0.0
2016.0,Portugal,,0.0
2016.0,Save the Children,,0.0
2016.0,Special Trust Fund for Afghanistan,,0.0
2016.0,Thailand,,0.0
2016.0,UN Multi-Partner Trust Fund,,0.0
2016.0,World Vision International,,0.0
2016.0,Disasters Emergency Committee (UK),,0.0
2016.0,Guyana,,0.0
2016.0,Malaysia,,0.0
2016.0,Philippines,,0.0
2016.0,Red Crescent Society of the United Arab Emirates,,0.0
2016.0,UNICEF National Committee/Australia,,0.0
2016.0,UNICEF National Committee/Austria,,0.0
2016.0,UNICEF National Committee/Czech Republic,,0.0
2016.0,UNICEF National Committee/Germany,,0.0
2016.0,UNICEF National Committee/Iceland,,0.0
2016.0,UNICEF National Committee/Italy,,0.0
2016.0,UNICEF National Committee/Korea (Republic of),,0.0
2016.0,UNICEF National Committee/Luxembourg,,0.0
2016.0,UNICEF National Committee/Poland,,0.0
2016.0,UNICEF National Committee/Portugal,,0.0
2016.0,UNICEF National Committee/Sweden,,0.0
2016.0,UNICEF National Committees,,0.0
2016.0,Unitaid,,0.0
2016.0,United States Fund For UNICEF,,0.0
2017.0,Afghanistan,,0.0
2017.0,Afghanistan ERF (until 2014),,0.0
2017.0,Agency for Technical Cooperation and Development,,0.0
2017.0,Australia,Government,16649280.0
2017.0,Austria,Government,5928649.0
2017.0,Belgium,Government,238583.0
2017.0,Bill and Melinda Gates Foundation,,0.0
2017.0,Brazil,,0.0
2017.0,CARITAS,,0.0
2017.0,CRS and Private Foundations,,0.0
2017.0,Canada,Government,12610617.0
2017.0,Central Emergency Response Fund,Pooled fund,9996905.0
2017.0,Czech Republic,Government,217713.0
2017.0,Denmark,Government,10245483.0
2017.0,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,38774384.0
2017.0,Finland,Government,1060445.0
2017.0,France,Government,512112.0
2017.0,Germany,Government,21948480.0
2017.0,Greece,,0.0
2017.0,India,,0.0
2017.0,Ireland,Government,374289.0
2017.0,Italy,Government,2865631.0
2017.0,Japan,Government,19495112.0
2017.0,Kazakhstan,,0.0
2017.0,Khalifa Bin Zayed Al Nahyan Foundation,,0.0
2017.0,Kyrgyzstan,,0.0
2017.0,Luxembourg,Government,483861.0
2017.0,Netherlands,Government,8709980.0
2017.0,Norway,Government,12918924.0
2017.0,Office for the Coordination of Humanitarian Affairs,UN agency,557612.0
2017.0,Private (individuals & organizations),Foundation/private,371610.0
2017.0,Romania,,0.0
2017.0,Russian Federation,,0.0
2017.0,Saudi Arabia (Kingdom of),Government,341546.0
2017.0,Slovakia,,0.0
2017.0,Spain,,0.0
2017.0,Sweden,Government,14967154.0
2017.0,Switzerland,Government,6628667.0
2017.0,Turkey,,0.0
2017.0,United Arab Emirates,,0.0
2017.0,United Kingdom,Government,52052143.0
2017.0,United Nations High Commissioner for Refugees,,0.0
2017.0,United States of America,Government,113514818.0
2017.0,World Food Programme,UN agency,16733008.0
2017.0,Association for Aid and Relief Japan,,0.0
2017.0,Australian Red Cross,,0.0
2017.0,Bahamas,,0.0
2017.0,British Red Cross,,0.0
2017.0,Croatia,,0.0
2017.0,Danish Red Cross,,0.0
2017.0,European Commission,Inter-governmental,5902864.0
2017.0,Finnish Red Cross,,0.0
2017.0,Food & Agriculture Organization of the United Nations,,0.0
2017.0,Japanese Red Cross Society,,0.0
2017.0,Korea,Government,13992804.0
2017.0,Lithuania,,0.0
2017.0,Medico International,,0.0
2017.0,Mine Action Programme of Afghanistan,,0.0
2017.0,Poland,Government,282000.0
2017.0,Swedish Red Cross,,0.0
2017.0,United Nations Children's Fund,UN agency,12733462.0
2017.0,United Nations Mine Action Service,,0.0
2017.0,World Health Organization,,0.0
2017.0,Estonia,Government,60096.0
2017.0,Hungary,,0.0
2017.0,Iceland,,0.0
2017.0,New Zealand,,0.0
2017.0,Slovenia,,0.0
2017.0,UNICEF National Committee/Japan,,0.0
2017.0,UNICEF National Committee/Netherlands,,0.0
2017.0,UNICEF National Committee/United Kingdom,,0.0
2017.0,ACF - France Action Contre la Faim,,0.0
2017.0,Norwegian Refugee Council,,0.0
2017.0,Oman,,0.0
2017.0,Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,,0.0
2017.0,Solidarités International,,0.0
2017.0,Swiss Solidarity,,0.0
2017.0,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),,0.0
2017.0,Qatar,,0.0
2017.0,Afghanistan Humanitarian Fund,Pooled fund,44218411.0
2017.0,United States Fund for UNICEF,,0.0
2017.0,Start Network,Other,192448.0
2017.0,UN Agencies (Confidential),,0.0
2017.0,Malta,,0.0
2017.0,Qawafil for Relief and Development,,0.0
2017.0,Bosnia & Herzegovina,Government,29621.0
2017.0,Bulgaria,Government,108578.0
2017.0,China,Government,2000000.0
2017.0,Education Cannot Wait Fund,Other,1566873.0
2017.0,Mexico,Government,50000.0
2017.0,United Nations Population Fund,UN agency,300306.0
2017.0,Aktion Deutschland Hilft,,0.0
2017.0,Dutch Relief Alliance,,0.0
2017.0,Kuwait Red Crescent Society,,0.0
2017.0,Oxfam Australia,,0.0
2017.0,Qatar Charity,,0.0
2017.0,UNICEF National Committee/Canada,,0.0
2017.0,United Nations Development Programme,,0.0
2017.0,United Nations Foundation,,0.0
2017.0,War Child Canada,,0.0
2017.0,Caritas Germany (DCV),,0.0
2017.0,Danish Committee for Aid to Afghan Refugees,,0.0
2017.0,UNICEF National Committee/Denmark,,0.0
2017.0,ActionAid International,,0.0
2017.0,Asian Development Bank,,0.0
2017.0,COVID-19 Humanitarian Thematic Fund,,0.0
2017.0,Disaster Emergency Committee Coronavirus Appeal,,0.0
2017.0,Kuwait,,0.0
2017.0,Oxfam,,0.0
2017.0,PATRIP Foundation,,0.0
2017.0,UNDP Administered Trust Fund,,0.0
2017.0,UNICEF National Committee/New Zealand,,0.0
2017.0,United Nations Office for Project Services,,0.0
2017.0,World Bank,,0.0
2017.0,Cyprus,,0.0
2017.0,Faeroe Islands,,0.0
2017.0,GAVI Alliance,,0.0
2017.0,Jersey Overseas Aid,,0.0
2017.0,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),,0.0
2017.0,Oxfam International,,0.0
2017.0,Portugal,,0.0
2017.0,Save the Children,,0.0
2017.0,Special Trust Fund for Afghanistan,,0.0
2017.0,Thailand,,0.0
2017.0,UN Multi-Partner Trust Fund,,0.0
2017.0,World Vision International,,0.0
2017.0,Disasters Emergency Committee (UK),,0.0
2017.0,Guyana,,0.0
2017.0,Malaysia,,0.0
2017.0,Philippines,,0.0
2017.0,Red Crescent Society of the United Arab Emirates,,0.0
2017.0,UNICEF National Committee/Australia,,0.0
2017.0,UNICEF National Committee/Austria,,0.0
2017.0,UNICEF National Committee/Czech Republic,,0.0
2017.0,UNICEF National Committee/Germany,,0.0
2017.0,UNICEF National Committee/Iceland,,0.0
2017.0,UNICEF National Committee/Italy,,0.0
2017.0,UNICEF National Committee/Korea (Republic of),,0.0
2017.0,UNICEF National Committee/Luxembourg,,0.0
2017.0,UNICEF National Committee/Poland,,0.0
2017.0,UNICEF National Committee/Portugal,,0.0
2017.0,UNICEF National Committee/Sweden,,0.0
2017.0,UNICEF National Committees,,0.0
2017.0,Unitaid,,0.0
